Timestamp,Timestamp_ms,TCP_bps,UDP_bps,ICMP_bps,ICMPv6_bps,ARP_bps,Other_bps
2024-11-16 12:27:05,1731740225700,13504320.0,167040.0,19992000.0,0.0,6767040.0,168000.0
2024-11-16 12:27:05,1731740225750,13474880.0,17120.0,19992000.0,0.0,6955200.0,33600.0
2024-11-16 12:27:05,1731740225800,13524480.0,100640.0,20007680.0,0.0,6827520.0,156800.0
2024-11-16 12:27:05,1731740225850,13504320.0,51360.0,20007680.0,0.0,6894720.0,100800.0
2024-11-16 12:27:05,1731740225900,13420800.0,85600.0,19819520.0,0.0,6807360.0,89600.0
2024-11-16 12:27:05,1731740225950,11886400.0,34240.0,17106880.0,0.0,6142080.0,44800.0
2024-11-16 12:27:06,1731740226000,14820480.0,51360.0,19176640.0,0.0,7593600.0,67200.0
2024-11-16 12:27:06,1731740226050,13503680.0,17120.0,20007680.0,0.0,6935040.0,78400.0
2024-11-16 12:27:06,1731740226100,13502080.0,117760.0,19992000.0,0.0,6847680.0,100800.0
2024-11-16 12:27:06,1731740226150,13502080.0,68480.0,20007680.0,0.0,6881280.0,100800.0
2024-11-16 12:27:06,1731740226200,13500800.0,51360.0,19992000.0,0.0,6921600.0,56000.0
2024-11-16 12:27:06,1731740226250,13504320.0,66400.0,20007680.0,0.0,6874560.0,112000.0
2024-11-16 12:27:06,1731740226300,13502080.0,117760.0,19992000.0,0.0,6881280.0,78400.0
2024-11-16 12:27:06,1731740226350,13498560.0,51360.0,20007680.0,0.0,6874560.0,100800.0
2024-11-16 12:27:06,1731740226400,13507200.0,17120.0,20007680.0,0.0,6961920.0,44800.0
2024-11-16 12:27:06,1731740226450,13502080.0,117760.0,19992000.0,0.0,6834240.0,112000.0
2024-11-16 12:27:06,1731740226500,13495680.0,51360.0,19992000.0,0.0,6948480.0,22400.0
2024-11-16 12:27:06,1731740226550,13504320.0,152000.0,20007680.0,0.0,6814080.0,112000.0
2024-11-16 12:27:06,1731740226600,13498560.0,17120.0,20007680.0,0.0,6961920.0,44800.0
2024-11-16 12:27:06,1731740226650,13507200.0,169120.0,19992000.0,0.0,6767040.0,156800.0
2024-11-16 12:27:06,1731740226700,13495680.0,34240.0,20007680.0,0.0,6928320.0,67200.0
2024-11-16 12:27:06,1731740226750,13507200.0,134880.0,19992000.0,0.0,6847680.0,89600.0
2024-11-16 12:27:06,1731740226800,13498560.0,51360.0,19992000.0,0.0,6955200.0,11200.0
2024-11-16 12:27:06,1731740226850,13510720.0,51360.0,20007680.0,0.0,6874560.0,123200.0
2024-11-16 12:27:06,1731740226900,13495680.0,51360.0,19992000.0,0.0,6935040.0,44800.0
2024-11-16 12:27:06,1731740226950,13507200.0,132800.0,20007680.0,0.0,6847680.0,89600.0
2024-11-16 12:27:07,1731740227000,13502080.0,34240.0,20007680.0,0.0,6955200.0,22400.0
2024-11-16 12:27:07,1731740227050,13500800.0,102720.0,19992000.0,0.0,6867840.0,89600.0
2024-11-16 12:27:07,1731740227100,13498560.0,51360.0,19992000.0,0.0,6928320.0,44800.0
2024-11-16 12:27:07,1731740227150,13504320.0,149920.0,20007680.0,0.0,6834240.0,89600.0
2024-11-16 12:27:07,1731740227200,13500800.0,34240.0,20007680.0,0.0,6941760.0,56000.0
2024-11-16 12:27:07,1731740227250,13507200.0,117760.0,19992000.0,0.0,6834240.0,112000.0
2024-11-16 12:27:07,1731740227300,13502080.0,34240.0,20007680.0,0.0,6948480.0,44800.0
2024-11-16 12:27:07,1731740227350,13495680.0,102720.0,19992000.0,0.0,6827520.0,145600.0
2024-11-16 12:27:07,1731740227400,13502080.0,51360.0,20007680.0,0.0,6908160.0,78400.0
2024-11-16 12:27:07,1731740227450,13507200.0,100640.0,19992000.0,0.0,6847680.0,112000.0
